Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,98.510002,100.379997,97.750000,98.769997,80.334122,17611500
2010-11-01,98.839996,99.949997,96.599998,97.650002,79.610527,19557200
2010-12-01,96.410004,96.680000,92.059998,93.820000,76.670471,24602900
2011-01-01,93.190002,94.430000,92.550003,93.800003,77.046043,17981100
2011-02-01,93.250000,93.489998,91.070000,93.370003,76.692848,16925700
2011-03-01,92.730003,95.290001,92.120003,93.010002,76.589066,20068700
2011-04-01,92.540001,94.480003,91.940002,94.470001,77.971657,15888400
2011-05-01,94.139999,96.629997,94.080002,96.589996,79.934532,19710400
2011-06-01,96.699997,98.190002,95.519997,95.860001,79.533340,31052100
2011-07-01,95.760002,98.790001,95.250000,98.660004,82.063789,24476200
2011-08-01,98.309998,104.720001,98.300003,103.000000,85.880653,43182500
2011-09-01,103.050003,106.660004,102.500000,105.070000,87.818466,27239900
2011-10-01,105.080002,106.260002,101.360001,103.510002,86.707329,27276600
2011-11-01,104.230003,105.430000,103.580002,103.900002,87.209152,20735200
2011-12-01,103.500000,106.180000,103.290001,105.570000,88.790184,17319700
2012-01-01,104.900002,106.489998,104.000000,106.480003,89.890755,20682000
2012-02-01,106.040001,106.129997,104.370003,105.120003,88.742630,19301100
2012-03-01,104.480003,105.419998,101.769997,103.279999,87.346031,16126900
2012-04-01,103.529999,105.809998,102.510002,105.690002,89.528969,13835500
2012-05-01,105.660004,108.889999,105.220001,108.550003,92.109543,17004500
2012-06-01,109.059998,109.370003,107.510002,107.930000,91.729195,25080900
2012-07-01,108.000000,109.889999,107.949997,109.279999,93.023109,19330800
2012-08-01,108.839996,109.279999,106.419998,108.989998,92.914032,17126000
2012-09-01,108.599998,108.830002,106.419998,108.459999,92.599434,16900900
2012-10-01,108.410004,108.559998,106.589996,107.889999,92.240578,14154900
2012-11-01,107.639999,109.199997,107.250000,108.800003,93.139687,16951800
2012-12-01,108.440002,109.150002,107.000000,107.489998,92.142082,14028800
2013-01-01,107.000000,107.349998,105.720001,106.099998,91.193283,17421800
2013-02-01,106.410004,107.379997,105.559998,107.160004,92.104362,17354800
2013-03-01,107.190002,107.660004,105.570000,107.339996,92.380966,15636300
2013-04-01,107.220001,109.139999,107.220001,108.830002,93.774460,17262200
2013-05-01,108.919998,109.169998,104.830002,105.320000,90.872795,18970900
2013-06-01,104.980003,107.589996,101.250000,102.500000,88.549500,25120700
2013-07-01,102.209999,102.860001,100.449997,102.000000,88.236465,29778700
2013-08-01,101.489998,102.269997,99.330002,100.410004,86.979004,35319300
2013-09-01,99.830002,102.150002,98.599998,102.110001,88.574013,26344500
2013-10-01,101.849998,103.400002,101.000000,102.750000,89.263428,20004600
2013-11-01,102.379997,102.419998,100.959999,101.690002,88.475143,17380800
2013-12-01,101.300003,101.440002,99.180000,99.239998,86.478989,23032800
2014-01-01,99.389999,102.279999,99.379997,102.279999,89.419121,18000500
2014-02-01,101.959999,102.669998,101.279999,102.470001,89.585274,20127500
2014-03-01,102.599998,102.830002,101.150002,101.730003,89.090729,23029200
2014-04-01,101.400002,102.739998,100.860001,102.309998,89.744026,18640300
2014-05-01,102.180000,104.529999,102.000000,103.980003,91.379631,72131700
2014-06-01,103.529999,103.730003,102.360001,103.580002,91.200981,55583800
2014-07-01,103.139999,104.050003,102.199997,103.160004,90.984352,50969900
2014-08-01,103.269997,105.230003,103.050003,104.900002,92.690750,35692100
2014-09-01,104.300003,104.309998,102.449997,103.620003,91.734077,52921800
2014-10-01,103.839996,108.879997,103.610001,105.019997,93.134148,43638900
2014-11-01,104.699997,106.199997,104.449997,106.190002,94.343788,33155300
2014-12-01,106.309998,107.279999,104.930000,105.989998,94.328705,60668700
2015-01-01,106.089996,110.589996,106.059998,110.550003,98.700241,33718400
2015-02-01,109.949997,110.400002,106.250000,107.639999,96.102142,45442100
2015-03-01,107.379997,108.839996,105.440002,108.389999,96.931366,38337600
2015-04-01,108.550003,109.120003,106.959999,107.529999,96.314362,22944100
2015-05-01,107.050003,107.190002,105.400002,106.919998,95.922836,27916400
2015-06-01,106.730003,106.809998,103.760002,105.010002,94.352310,31650700
2015-07-01,104.400002,106.519997,104.150002,106.440002,95.788589,37672100
2015-08-01,106.300003,108.760002,105.489998,106.360001,95.864464,40058800
2015-09-01,106.489998,107.930000,105.699997,107.870003,97.375557,38001000
2015-10-01,107.900002,108.970001,106.790001,107.019997,96.760155,57195200
2015-11-01,106.629997,106.699997,105.019997,106.400002,96.346062,38145800
2015-12-01,106.239998,107.089996,105.169998,105.589996,95.758461,45021100
2016-01-01,106.089996,109.180000,105.830002,109.110001,99.258049,62752600
2016-02-01,108.809998,112.010002,108.559998,110.570000,100.586227,68664000
2016-03-01,110.540001,110.959999,108.199997,110.339996,100.523460,52816700
2016-04-01,110.180000,111.089996,109.000000,110.000000,100.356209,39261300
2016-05-01,109.660004,110.919998,109.320000,109.730003,100.262558,35203800
2016-06-01,109.849998,113.239998,109.480003,112.949997,103.356018,55290100
2016-07-01,113.300003,113.910004,111.660004,113.070000,103.619743,50853500
2016-08-01,112.559998,112.800003,111.370003,111.769997,102.571861,36807000
2016-09-01,111.330002,112.330002,110.440002,111.879997,102.816505,25347200
2016-10-01,111.699997,111.730003,109.720001,110.059998,101.284409,37030300
2016-11-01,109.589996,110.559998,105.000000,105.260002,96.997154,54706600
2016-12-01,104.620003,105.580002,103.430000,104.820000,96.727051,39059700
2017-01-01,104.349998,106.029999,104.180000,105.050003,97.230865,38681500
2017-02-01,104.559998,106.160004,104.320000,105.650002,97.786217,41341600
2017-03-01,104.709999,105.959999,103.690002,105.589996,97.878822,44816900
2017-04-01,105.559998,107.470001,105.529999,106.599998,98.950867,42203600
2017-05-01,106.320000,107.400002,105.410004,107.320000,99.769440,43644900
2017-06-01,106.940002,108.169998,106.540001,106.610001,99.258400,41627000
2017-07-01,106.449997,107.269997,105.720001,106.849998,99.634056,44651400
2017-08-01,106.519997,108.430000,106.470001,108.239998,101.080971,29618300
2017-09-01,107.959999,108.809998,106.459999,106.519997,99.628578,43735600
2017-10-01,106.419998,106.919998,105.470001,106.160004,99.440689,38501300
2017-11-01,105.919998,106.629997,105.589996,105.699997,99.157814,32378500
2017-12-01,105.699997,106.339996,104.870003,105.570000,99.189079,42014900
2018-01-01,105.440002,105.470001,103.019997,103.300003,97.355392,64827200
2018-02-01,103.099998,103.309998,101.470001,102.169998,96.290413,78688600
2018-03-01,102.160004,103.309998,101.680000,103.190002,97.410141,58315400
2018-04-01,102.940002,103.339996,101.059998,101.699997,96.153191,54934500
2018-05-01,101.500000,103.199997,100.330002,102.510002,97.083664,85042400
2018-06-01,101.849998,102.730003,101.160004,102.510002,97.266350,85547500
2018-07-01,102.419998,102.709999,101.559998,101.779999,96.764366,57100300
2018-08-01,101.260002,102.959999,101.190002,102.610001,97.734612,62759100
2018-09-01,102.260002,102.449997,100.680000,101.169998,96.552773,60054700
2018-10-01,100.830002,101.300003,99.599998,100.660004,96.259300,92787200
2018-11-01,100.360001,101.820000,99.750000,101.779999,97.526955,69871900
2018-12-01,101.440002,104.660004,101.410004,104.199997,100.060577,118402000
2019-01-01,104.309998,105.320000,103.349998,104.879997,101.133194,133795900
2019-02-01,104.470001,104.790001,103.809998,104.110001,100.390717,93776200
2019-03-01,103.739998,107.080002,103.570000,106.669998,103.075470,97839700
2019-04-01,106.099998,106.129997,105.000000,105.900002,102.527397,76407100
2019-05-01,105.699997,108.949997,105.269997,108.910004,105.657478,90086400
2019-06-01,108.879997,110.279999,108.580002,110.019997,106.948387,101557500
2019-07-01,109.820000,110.400002,108.830002,109.870003,107.011864,71495500
2019-08-01,109.839996,114.389999,109.790001,114.010002,111.238312,133258900
2019-09-01,113.879997,114.440002,110.500000,112.470001,109.929871,149510500
2019-10-01,111.849998,113.889999,111.050003,112.510002,110.152534,95921600
2019-11-01,112.180000,112.419998,109.980003,111.570000,109.398567,77322800
2019-12-01,110.870003,112.169998,110.040001,110.220001,108.236473,62923000
2020-01-01,110.690002,114.120003,110.629997,114.040001,112.307320,72902700
2020-02-01,113.610001,117.449997,112.559998,117.260002,115.478363,111552100
2020-03-01,117.550003,123.410004,114.400002,121.480003,119.794991,212863200
2020-04-01,122.129997,122.690002,120.269997,121.669998,120.125778,79840600
2020-05-01,121.790001,122.230003,120.849998,121.940002,120.535233,64695500
2020-06-01,121.620003,122.190002,119.349998,121.870003,120.592888,112116800
2020-07-01,121.529999,122.889999,121.290001,122.800003,121.634842,86038200
2020-08-01,122.519997,123.089996,121.180000,121.510002,120.465828,74469800
2020-09-01,121.400002,122.389999,121.300003,121.820000,120.871582,82592900
2020-10-01,121.529999,121.930000,120.059998,120.059998,119.211601,124269300
2020-11-01,120.339996,121.059998,119.190002,120.389999,119.616852,136260600
2020-12-01,119.970001,120.269997,119.199997,119.949997,119.255157,88556700
2021-01-01,119.680000,120.059998,117.570000,118.639999,118.103119,117236400
2021-02-01,118.570000,118.769997,114.099998,115.760002,115.236160,153813600
2021-03-01,115.470001,115.779999,112.779999,112.930000,112.492928,180766200
2021-04-01,113.209999,114.769997,112.800003,113.989998,113.617523,148725100
2021-05-01,113.959999,114.949997,113.470001,114.400002,114.096909,152870000
2021-06-01,114.190002,115.790001,114.050003,115.489998,115.258827,133961100
2021-07-01,115.379997,118.519997,115.169998,117.709999,117.555565,160682200
2021-08-01,117.820000,118.629997,116.779999,116.779999,116.704597,57482800
